湖南常德外网IPTV,#genre#
湖南卫视,http://hdtv.lzu6.edu.cn/hls/jlu_hnhd.m3u8
湖南卫视,http://hdtv.lzu6.edu.cn/hls/hls115.m3u8
浙江卫视,http://hdtv.lzu6.edu.cn/hls/zjhd.m3u8
浙江卫视,http://hdtv.lzu6.edu.cn/hls/jlu_zjhd.m3u8
浙江卫视,http://hdtv.lzu6.edu.cn/hls/hls68a51.m3u8
浙江卫视,http://hdtv.lzu6.edu.cn/hls/hls123.m3u8
东方卫视,http://hdtv.lzu6.edu.cn/hls/dfhd.m3u8
东方卫视,http://hdtv.lzu6.edu.cn/hls/jlu_dfhd.m3u8
东方卫视,http://hdtv.lzu6.edu.cn/hls/hls69a24.m3u8
东方卫视,http://hdtv.lzu6.edu.cn/hls/hls122.m3u8
江苏卫视,http://hdtv.lzu6.edu.cn/hls/jshd.m3u8
江苏卫视,http://hdtv.lzu6.edu.cn/hls/jlu_jshd.m3u8
江苏卫视,http://hdtv.lzu6.edu.cn/hls/hls68a52.m3u8
江苏卫视,http://hdtv.lzu6.edu.cn/hls/hls116.m3u8
北京卫视,http://hdtv.lzu6.edu.cn/hls/btv1hd.m3u8
北京卫视,http://hdtv.lzu6.edu.cn/hls/jlu_bjhd.m3u8
北京卫视,http://hdtv.lzu6.edu.cn/hls/hls69a21.m3u8
北京卫视,http://hdtv.lzu6.edu.cn/hls/hls117.m3u8
安徽卫视,http://hdtv.lzu6.edu.cn/hls/ahhd.m3u8
安徽卫视,http://hdtv.lzu6.edu.cn/hls/jlu_ahhd.m3u8
安徽卫视,http://hdtv.lzu6.edu.cn/hls/hls71a16.m3u8
安徽卫视,http://hdtv.lzu6.edu.cn/hls/hls141.m3u8
深圳卫视,http://hdtv.lzu6.edu.cn/hls/szhd.m3u8
深圳卫视,http://hdtv.lzu6.edu.cn/hls/jlu_szhd.m3u8
深圳卫视,http://hdtv.lzu6.edu.cn/hls/hls70a20.m3u8
深圳卫视,http://hdtv.lzu6.edu.cn/hls/hls110.m3u8
辽宁卫视,http://hdtv.lzu6.edu.cn/hls/lnhd.m3u8
辽宁卫视,http://hdtv.lzu6.edu.cn/hls/jlu_lnhd.m3u8
